Year,DoY,season,daily_NEE,daily_GPP,daily_Reco,MaxT,MinT,Radn,rainfall,TairMean,pdi,mean_SoilC,grazeYN
2022,159,Spring,-1.2201368256,-13.572909817,12.352742792799999,25.6,13.9,19.1,16.764,19.00694445,-0.71,16.92222239,N
2022,160,Spring,-0.3445553371999998,-11.2135238784,10.8689648666,20.6,12.8,13.6,11.684,16.45034722,-0.71,16.33066458,N
2022,161,Spring,-1.2261745008,-12.2947245792,11.0684734188,23.9,11.1,25.16,0,17.16215278,-0.71,14.68669535,N
2022,162,Spring,-2.05391376,-13.0289488848,10.9750160972,23.3,10.6,24.75,0,17.353125,-0.71,16.60040436,N
2022,163,Spring,-2.332356768,-14.0331030336,11.7007147144,23.9,11.7,22.11,0,19.38958333,-0.71,16.95794194,N
2022,164,Spring,0.3518103459999999,-12.1228835332,12.4746977156,23.9,15,23.81,4.826,21.28055556,-0.71,17.69197871,N
2022,165,Spring,3.170609568,-8.3535223538,11.524086991599999,25.6,12.2,26.75,0,19.82569445,-0.71,17.43566793,N
2022,166,Spring,3.282289646,-7.130460586,10.4126978917,25,12.8,24.43,0,17.62291667,-0.71,18.39634094,Y
2022,167,Spring,3.233611886,-7.1837432928,10.4173545649,20.6,10.6,17.76,0,18.30034722,-0.71,18.18896001,Y
2022,168,Spring,5.5264977956,-6.6265664544,12.1530929041,28.9,16.1,22.85,7.366,22.54791667,-0.71,17.4014717,Y
2022,169,Spring,2.3407019709999997,-6.481057549,8.8218162734,18.9,12.8,20.7,0,15.19166667,-1.14,19.438192,Y
2022,170,Spring,5.1934071196,-2.3109929858,7.5043826173,13.3,10,8.63,3.048,12.37430556,-1.14,15.46543529,Y
2022,171,Spring,3.624036293,-4.9388942808000005,8.5629428368,23.9,7.2,29.32,0,15.25,-1.14,12.57786204,Y
2022,172,Summer,5.252303089,-2.7022167644,7.9545472556,18.9,7.8,27.96,0,14.24375,-1.14,15.44041723,N
2022,173,Summer,4.416899803400001,-3.902292288,8.3192165779,17.8,11.7,23.58,0,15.8,-1.14,15.55032247,N
2022,174,Summer,4.1467938336,-4.8269924352,8.9737771749,21.7,13.3,25.12,0,17.88125,-1.14,15.2149203,N
2022,175,Summer,4.7427397081,-4.623326554,9.3660870784,23.9,13.3,24.04,0,19.36284722,-1.14,15.68541489,N
2022,176,Summer,3.510562681,-6.886577232,10.3971075403,30,15,27.24,0,22.53368056,-0.79,18.18916473,N
2022,177,Summer,3.5072450492,-7.4508574468,10.9581259834,30,17.8,27.57,0,24.70694445,-0.79,21.32294871,N
2022,178,Summer,5.5568497392000005,-4.2115842432,9.768397307,23.3,17.2,9.47,5.588,22.03715278,-0.79,21.54163005,N
2022,179,Summer,4.4652019822,-4.066842945,8.5320181863,24.4,13.3,23.74,0,19.10972222,-0.79,19.71425782,N
2022,180,Summer,2.7972216000000003,-5.7618364131,8.5590978304,25.6,12.2,23.67,0,19.86493056,-0.79,19.08778025,N
2022,181,Summer,3.2192293970000003,-4.930481664,8.1497410141,26.1,13.9,28.04,0.508,19.15173611,-0.79,19.5310023,N
2022,182,Summer,-0.17417299059999988,-10.3664772,10.1924331738,28.3,14.4,24.51,0,24.64826389,-0.79,19.90935923,N
2022,183,Summer,3.2752399242,-7.7053253746,10.9805523328,30.6,17.8,16.62,0.254,24.21875,-1.29,21.98764826,N
